Industries,Year,Total Employees
Pipeline transportation,2017,"50,000"
Other transportation and support activities3,2017,"1,401,000"
Warehousing and storage,2017,"1,031,000"
Publishing industries (includes software),2017,"884,000"
Motion picture and sound recording industries,2017,"428,000"
Broadcasting and telecommunications,2017,"1,047,000"
Information and data processing services,2017,"445,000"
"Federal Reserve banks, credit intermediation, and related activities",2017,"2,677,000"
"Securities, commodity contracts, and investments",2017,"927,000"
Insurance carriers and related activities,2017,"2,665,000"
"Funds, trusts, and other financial vehicles",2017,"13,000"
Real estate,2017,"1,648,000"
Rental and leasing services and lessors of intangible assets4,2017,"583,000"
Legal services,2017,"1,151,000"
Computer systems design and related services,2017,"2,059,000"
"Miscellaneous professional, scientific, and technical services5",2017,"5,891,000"
Management of companies and enterprises6,2017,"2,284,000"
Administrative and support services,2017,"8,734,000"
Waste management and remediation services,2017,"417,000"
Educational services,2017,"3,662,000"
Ambulatory health care services,2017,"7,295,000"
Hospitals,2017,"5,073,000"
Nursing and residential care facilities,2017,"3,350,000"
Social assistance,2017,"3,857,000"
"Performing arts, spectator sports, museums, and related activities",2017,"660,000"
"Amusements, gambling, and recreation industries",2017,"1,675,000"
Accommodation,2017,"1,992,000"
Food services and drinking places,2017,"11,719,000"
"Other services, except government",2017,"7,042,000"
Farms,2018,"814,000"
"Forestry, fishing, and related activities",2018,"634,000"
Oil and gas extraction,2018,"143,000"
"Mining, except oil and gas",2018,"191,000"
Support activities for mining,2018,"339,000"
 Utilities,2018,"553,000"
 Construction,2018,"7,419,000"
Wood products,2018,"406,000"
Nonmetallic mineral products,2018,"416,000"
 Primary metals,2018,"380,000"
Fabricated metal products,2018,"1,466,000"
Machinery,2018,"1,113,000"
Computer and electronic products,2018,"1,059,000"
"Electrical equipment, appliances, and components",2018,"398,000"
"Motor vehicles, bodies and trailers, and parts",2018,"1,002,000"
Other transportation equipment,2018,"700,000"
Furniture and related products,2018,"394,000"
Miscellaneous manufacturing,2018,"610,000"
Food and beverage and tobacco products,2018,"1,888,000"
Textile mills and textile product mills,2018,"228,000"
Apparel and leather and allied products,2018,"142,000"
Paper products,2018,"364,000"
Printing and related support activities,2018,"431,000"
Petroleum and coal products,2018,"113,000"
Chemical products,2018,"832,000"
Plastics and rubber products,2018,"730,000"
Motor vehicle and parts dealers,2018,"2,033,000"
Food and beverage stores,2018,"3,103,000"
General merchandise stores,2018,"3,111,000"
Other retail2,2018,"7,686,000"
Air transportation,2018,"506,000"
Rail transportation,2018,"182,000"
Water transportation,2018,"65,000"
Truck transportation,2018,"1,522,000"
Transit and ground passenger transportation,2018,"497,000"
Pipeline transportation,2018,"50,000"
Other transportation and support activities3,2018,"1,481,000"
Warehousing and storage,2018,"1,145,000"
Publishing industries (includes software),2018,"903,000"
