Industries,Year,Salary($)
Miscellaneous manufacturing,2017,"67,401.00"
Miscellaneous manufacturing,2012,"60,078.00"
Miscellaneous manufacturing,2016,"65,257.00"
Miscellaneous manufacturing,2013,"61,484.00"
Miscellaneous manufacturing,2014,"62,758.00"
Miscellaneous manufacturing,2015,"64,891.00"
Miscellaneous manufacturing,2019,"70,784.00"
"Miscellaneous professional, scientific, and technical services5",2015,"89,143.00"
"Miscellaneous professional, scientific, and technical services5",2017,"91,832.00"
"Miscellaneous professional, scientific, and technical services5",2013,"82,730.00"
"Miscellaneous professional, scientific, and technical services5",2012,"82,468.00"
"Miscellaneous professional, scientific, and technical services5",2019,"97,254.00"
"Miscellaneous professional, scientific, and technical services5",2018,"94,681.00"
"Miscellaneous professional, scientific, and technical services5",2016,"89,364.00"
"Miscellaneous professional, scientific, and technical services5",2014,"85,860.00"
Motion picture and sound recording industries,2017,"80,464.00"
Motion picture and sound recording industries,2016,"77,788.00"
Motion picture and sound recording industries,2019,"84,068.00"
Motion picture and sound recording industries,2015,"80,900.00"
Motion picture and sound recording industries,2013,"73,864.00"
Motion picture and sound recording industries,2014,"81,265.00"
Motion picture and sound recording industries,2012,"78,580.00"
Motion picture and sound recording industries,2018,"84,064.00"
Motor vehicle and parts dealers,2015,"56,643.00"
Motor vehicle and parts dealers,2017,"57,832.00"
Motor vehicle and parts dealers,2018,"59,093.00"
Motor vehicle and parts dealers,2014,"55,048.00"
Motor vehicle and parts dealers,2016,"57,039.00"
Motor vehicle and parts dealers,2013,"53,514.00"
Motor vehicle and parts dealers,2019,"60,820.00"
Motor vehicle and parts dealers,2012,"52,426.00"
"Motor vehicles, bodies and trailers, and parts",2016,"62,186.00"
"Motor vehicles, bodies and trailers, and parts",2017,"62,793.00"
"Motor vehicles, bodies and trailers, and parts",2015,"61,695.00"
"Motor vehicles, bodies and trailers, and parts",2019,"65,757.00"
"Motor vehicles, bodies and trailers, and parts",2014,"60,135.00"
"Motor vehicles, bodies and trailers, and parts",2012,"58,953.00"
"Motor vehicles, bodies and trailers, and parts",2013,"58,672.00"
"Motor vehicles, bodies and trailers, and parts",2018,"64,613.00"
Nonmetallic mineral products,2014,"55,516.00"
Nonmetallic mineral products,2017,"60,091.00"
Nonmetallic mineral products,2013,"53,724.00"
Nonmetallic mineral products,2018,"61,195.00"
Nonmetallic mineral products,2012,"53,058.00"
Nonmetallic mineral products,2019,"62,518.00"
Nonmetallic mineral products,2016,"58,378.00"
Nonmetallic mineral products,2015,"57,165.00"
Nursing and residential care facilities,2014,"32,676.00"
Nursing and residential care facilities,2017,"35,364.00"
Nursing and residential care facilities,2015,"33,842.00"
Nursing and residential care facilities,2013,"32,062.00"
Nursing and residential care facilities,2018,"36,536.00"
Nursing and residential care facilities,2019,"38,009.00"
Nursing and residential care facilities,2012,"31,542.00"
Nursing and residential care facilities,2016,"34,574.00"
Oil and gas extraction,2017,"168,544.00"
Oil and gas extraction,2012,"158,535.00"
Oil and gas extraction,2014,"167,552.00"
Oil and gas extraction,2013,"157,305.00"
Oil and gas extraction,2016,"165,479.00"
Oil and gas extraction,2018,"173,134.00"
Oil and gas extraction,2019,"184,728.00"
Oil and gas extraction,2015,"168,594.00"
Other retail2,2016,"37,006.00"
Other retail2,2013,"34,272.00"
Other retail2,2015,"36,629.00"
Other retail2,2018,"39,615.00"
Other retail2,2014,"35,341.00"
Other retail2,2012,"34,012.00"
Other retail2,2017,"37,955.00"
Other retail2,2019,"41,015.00"
