CAINC4 Personal Income and Employment by Major Component,,,,,,,,,
Per capita personal income (Dollars) 4/ ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
County,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018
2921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4001,"Apache, AZ",27512,27484,27942,29405,30821,31417,33093,34355
4003,"Cochise, AZ",35211,34352,34458,35822,36818,37621,39165,40308
4005,"Coconino, AZ",37094,36814,38336,40639,42726,44279,46662,48129
4007,"Gila, AZ",31527,31821,32703,34292,35748,36286,38524,40267
4009,"Graham, AZ",25455,26708,27809,29143,29575,29460,30233,31597
4011,"Greenlee, AZ",31153,31238,35063,36406,34417,33892,36626,39855
4012,"La Paz, AZ*",27666,26927,27036,27302,28205,29596,29750,30948
4013,"Maricopa, AZ",37592,39109,39376,41197,42818,43825,45667,47694
4015,"Mohave, AZ",25501,26011,26768,28450,29366,30286,31742,33148
4017,"Navajo, AZ",25716,25995,26640,27574,28519,29677,31008,32165
4019,"Pima, AZ",35264,36374,36741,38031,39025,39904,42133,44028
4021,"Pinal, AZ",24583,24932,26017,26983,27761,28535,29587,30644
4023,"Santa Cruz, AZ",30667,31178,31238,33115,33600,34828,37395,39057
4025,"Yavapai, AZ",30022,30952,31983,34209,35500,36511,38381,40312
4027,"Yuma, AZ*",27959,27700,29289,29099,31602,33141,35049,35682
5001,"Arkansas, AR",36497,38365,41840,41330,40911,43755,43723,45290
5003,"Ashley, AR",31586,31574,32066,30878,31937,32742,33152,34813
5005,"Baxter, AR",29997,31950,31721,33821,34301,34516,35617,37106
5007,"Benton, AR",56332,66858,64251,74292,78852,82031,84658,88890
5009,"Boone, AR",29206,30519,30754,32340,33249,33439,34263,36089
5011,"Bradley, AR",29014,31466,31825,34423,35671,36251,37936,39491
5013,"Calhoun, AR",27290,28387,28798,30097,31570,32632,32803,34426
5015,"Carroll, AR",24759,26779,27976,31421,30635,31170,33064,33690
5017,"Chicot, AR",30683,33518,36198,33064,32455,34429,35538,36293
5019,"Clark, AR",28847,30953,30525,31806,32658,33226,34822,36314
5021,"Clay, AR",29062,31002,33492,30731,29996,30994,33558,34149
5023,"Cleburne, AR",31154,33278,33801,35207,35799,35135,36764,38307
5025,"Cleveland, AR",28650,30341,32672,35439,36278,36239,38630,40344
5027,"Columbia, AR",31598,33677,33484,35539,34671,34418,36856,38749
5029,"Conway, AR",32031,33399,35141,36965,36535,35872,36781,38191
5031,"Craighead, AR",32299,33590,33936,34415,35271,35490,36323,37531
5033,"Crawford, AR",28076,28986,29158,30057,30808,31344,32042,32952
5035,"Crittenden, AR",30756,32010,33224,33391,33913,34692,35726,36978
5037,"Cross, AR",30720,32067,33481,34117,32283,32928,34595,35949
5039,"Dallas, AR",27668,28074,27946,29516,30833,31946,33118,34645
5041,"Desha, AR",33057,33751,35774,34463,35219,35934,36384,37828
5043,"Drew, AR",31387,32548,33185,33632,33282,34408,35696,37148
5045,"Faulkner, AR",32092,33034,33106,34223,34884,35446,36424,37598
5047,"Franklin, AR",26610,28630,29246,31801,31823,31816,33010,34275
5049,"Fulton, AR",24213,24947,25306,26383,26892,27000,27907,28994
5051,"Garland, AR",33073,34606,33845,35645,36630,37226,38629,40004
5053,"Grant, AR",31806,32861,32787,34089,35485,36261,37275,38201
5055,"Greene, AR",28592,30757,31397,31797,32025,32299,33696,34895
